NODE          UX          UY          UZ          X          Y          Z
     6769        0.3180557394202386        0.0000000228257120        0.1148670762351519     3096.0314085400004842        0.0000000000000000     1142.1862883599999350
     6770        0.3181198884761568        0.0082073900781731        0.1148905031636819     3095.8742325200005325       10.0244930999999990     1142.1283030600000075
     6771        0.3183119969563412        0.0164332844136585        0.1149606624465644     3095.4028800099995351       20.0377901200000039     1141.9544119400000000
     6772        0.3186310568186705        0.0246962312217377        0.1150771997118335     3094.6178774300001351       30.0287074899999986     1141.6648091999998087
     6773        0.3190753518603767        0.0330147482918101        0.1152395112506300     3093.5201015500001631       39.9860866099999939     1141.2598182899998847
     6774        0.3196424048113742        0.0414073311646796        0.1154467248516430     3092.1107784400001037       49.8988063700000026     1140.7398915500000385
     6775        0.3203289054654966        0.0498924255612417        0.1156976737651184     3090.3914821300004405       59.7557955300000074     1140.1056096500001331
     6776        0.3211306221188609        0.0584883831566768        0.1159908646553103     3088.3641328500007148       69.5460450800000132     1139.3576810200002001
     6777        0.3220422993398599        0.0672133973059251        0.1163244406204094     3086.0309949100001177       79.2586205600000113     1138.4969409899999846
     6778        0.3230575452381456        0.0760854156893856        0.1166961404716900     3083.3946741099998690       88.8826742699999954     1137.5243508899998233
     6779        0.3241687121777008        0.0851220273899745        0.1171032557001268     3080.4581148900006156       98.4074573500000014     1136.4409970000001522
     6780        0.3253667752388920        0.0943403228447586        0.1175425867077254     3077.2245970099997976      107.8223318499999692     1135.2480892800001584
     6781        0.3266412129823594        0.1037567253024585        0.1180103999894439     3073.6977319000002353      117.1167825499999822     1133.9469600500001434
     6782        0.3279798954838576        0.1133867937165033        0.1185023880707842     3069.8814586200001031      126.2804287299999970     1132.5390625000000000
     6783        0.3293689845018039        0.1232449973828389        0.1190136339917354     3065.7800394499995491      135.3030357599999718     1131.0259690900002170
     6784        0.3307928511075380        0.1333444637795926        0.1195385822663441     3061.3980551700001342      144.1745265599999755     1129.4093697400003293
     6785        0.3322340156560424        0.1436967017465047        0.1200710181368851     3056.7403998899999351      152.8849927800000046     1127.6910699899999599
     6786        0.3336731150117583        0.1543113031144063        0.1206040568786365     3051.8122756200000367      161.4247059500000034     1125.8729889599999296
     6787        0.3350889016534606        0.1651956267099219        0.1211301448656853     3046.6191864300003544      169.7841283000000203     1123.9571572100001049
     6788        0.3364582788864466        0.1763544694728442        0.1216410739226023     3041.1669323599999188      177.9539234199999953     1121.9457144900002277
     6789        0.3377563758088379        0.1877897304808900        0.1221280102882863     3035.4616028800005552      185.9249666899999909     1119.8409073200000421
     6790        0.3389566650677702        0.1995000739032102        0.1225815392857393     3029.5095701099999133      193.6883554700000047     1117.6450864999999339
     6791        0.3400311256817528        0.2114805979646638        0.1229917265081387     3023.3174816999999166      201.2354190400000107     1115.3607044899999892
     6792        0.3409504523256655        0.2237225172615149        0.1233481960011897     3016.8922534500002257      208.5577283000000364     1112.9903126399999564
     6793        0.3416843116913815        0.2362128666339174        0.1236402256620285     3010.2410614999998870      215.6471051599999669     1110.5365583800003151
     6794        0.3422016451746174        0.2489342341544404        0.1238568595118843     3003.3713343900008113      222.4956316899999820     1108.0021822499998052
     6795        0.3424710163715040        0.2618645319323057        0.1239870362738641     2996.2907447399998091      229.0956589599999802     1105.3900148199998057
     6796        0.3424610005478658        0.2749768126455549        0.1240197331763703     2989.0072006499999588      235.4398155799999870     1102.7029735400001300
     6797        0.3421406121491512        0.2882391394893412        0.1239441234876061     2981.5288369099998818      241.5210159400000123     1099.9440595000000940
     6798        0.3414797653055328        0.3016145172126417        0.1237497458918995     2973.8640059099998325      247.3324681000000282     1097.1163540600000488
     6799        0.3404497611007744        0.3150608907459093        0.1234266833772944     2966.0212682900000800      252.8676814300000046     1094.2230154000001221
     6800        0.3390237944519541        0.3285312174084735        0.1229657489680618     2958.0093833800001448      258.1204737799999975     1091.2672750000001543
     6801        0.3371774723362708        0.3419736171329809        0.1223586752163224     2949.8372994400001517      263.0849784599999452     1088.2524340699997083
     6802        0.3348893344175241        0.3553316047906309        0.1215983041198992     2941.5141436500002783      267.7556507599999804     1085.1818597900000896
     6803        0.3321413663428340        0.3685444063765280        0.1206787738735331     2933.0492119000000457      272.1272741200000382     1082.0589815900000303
     6804        0.3289194955536913        0.3815473596175249        0.1195956986588215     2924.4519584500003475      276.1949660000000222     1078.8872873400000572
     6805        0.3252140590158833        0.3942723983321080        0.1183463375623977     2915.7319853300000432      279.9541833100000190     1075.6703194199999416
     6806        0.3210202324086052        0.4066486175132000        0.1169297487415539     2906.8990316500003246      283.4007274799999436     1072.4116707700002280
     6807        0.3163384101591259        0.4186029146912019        0.1153469249226460     2897.9629626800001461      286.5307491599999707     1069.1149808699997266
     6808        0.3111745264092087        0.4300607011432255        0.1136009065651420     2888.9337588800008234      289.3407525200000237     1065.7839317299999493
     6809        0.3055403073089763        0.4409466753079383        0.1116968691485243     2879.8215047100002266      291.8275991300000101     1062.4222436899999593
     6810        0.2994534462528519        0.4511856481112089        0.1096421815085545     2870.6363774100000228      293.9885115099999098     1059.0336713300000611
     6811        0.2929376944304015        0.4607034097059179        0.1074464324265083     2861.3886355800000274      295.8210761999999363     1055.6219992499998170
     6812        0.2860228607437607        0.4694276245374108        0.1051214232927441     2852.0886077799996201      297.3232464499999423     1052.1910378499997023
     6813        0.2787447163680072        0.4772887412503059        0.1026811251493905     2842.7466809599991393      298.4933445299999448     1048.7446191000001363
     6814        0.2711448010971134        0.4842209029135623        0.1001415990863043     2833.3732888500003355      299.3300635900000088     1045.2865921800002980
