ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
     6393     2887.2290979405793223     1232.2548258834390253       -0.2858220435355897     -255.5354352929552988      -73.0894592953275151       -0.1863025755919634       -0.0078136856774994       -0.0565980657113421
     6394     2887.3641778145215540     1232.4659511804813974       -0.8579837631036310     -255.7287016584136836      -73.0748783764640848       -0.5608078134214773       -0.0227713402772191       -0.0570456944307895
     6395     2887.6340468770340522     1232.8872210993970384       -1.4321573430562897     -256.1020683032124907      -73.0415593497057216       -0.9402370817481271       -0.0357288217299050       -0.0579337517162350
     6396     2888.0381245328744626     1233.5166614817592290       -2.0096955865544501     -256.6293716646932808      -72.9812468621214521       -1.3278124360468568       -0.0453807981992613       -0.0592497657091599
     6397     2888.5755410236138232     1234.3512489989234382       -2.5919681075051235     -257.2716821962562790      -72.8816772403185951       -1.7266703212396179       -0.0504465200019475       -0.0609747161704080
     6398     2889.2451388990939449     1235.3868383639016884       -3.1803677516094679     -257.9777027644222471      -72.7267274446053307       -2.1398245483052780       -0.0497033144185966       -0.0630825464400696
     6399     2890.0454751420525099     1236.6180681285443370       -3.7763185460692776     -258.6843196633753905      -72.4966189582712559       -2.5701260811302524       -0.0419855308643504       -0.0655409681644712
     6400     2890.9748239691771232     1238.0382474665300379       -4.3812762380994599     -259.3172512760884274      -72.1681593240032271       -3.0202331428715192       -0.0262061479981739       -0.0683119851830670
     6401     2892.0311803525228243     1239.6392268835311370       -4.9967331650695286     -259.7918439466302516      -71.7150362594784383       -3.4925716612705209       -0.0013654613636649       -0.0713508579682886
     6402     2893.2122646071784402     1241.4112563869857695       -5.6242267104420076     -260.0140045282487335      -71.1081594222050626       -3.9892978409695878        0.0334294401691261       -0.0746068991687282
     6403     2894.5155281248171377     1243.3428348306213138       -6.2653270883736614     -259.8812841373260198      -70.3160541707011362       -4.5122636953782500        0.0789530786968504       -0.0780237590651533
     6404     2895.9381600623009945     1245.4205552321429877       -6.9216556475712760     -259.2840557404342690      -69.3052877369227645       -5.0629774995630630        0.1358532826146956       -0.0815390412457773
     6405     2897.4770956703332558     1247.6289501602996097       -7.5948659241069647     -258.1068450230450253      -68.0409459357401829       -5.6425679596382761        0.2046294381005659       -0.0850850743618857
     6406     2899.1290258983990498     1249.9503427903387092       -8.2866510107350635     -256.2297594589617802      -66.4871408124213303       -6.2517479288116355        0.2856329515322855       -0.0885890545764595
     6407     2900.8904087463711221     1252.3647084226897732       -8.9987330092553766     -253.5300813570652281      -64.6075696402335780       -6.8907783733402734        0.3790341436396938       -0.0919732395326582
     6408     2902.7574821624862125     1254.8495519581958888       -9.7328599230273518     -249.8839170096212001      -62.3660908322272007       -7.5594334646732886        0.4848447848510643       -0.0951558777533310
     6409     2904.7262788412654118     1257.3798065821629280      -10.4907885232633618     -245.1679615294078758      -59.7273320892186348       -8.2569696113402102        0.6028718304938698       -0.0980512945620238
     6410     2906.7926427226466330     1259.9277592985749834      -11.2742835411579456     -239.2613910514269264      -56.6573331319114004       -8.9820919632466971        0.7327387424800137       -0.1005705733567886
     6411     2908.9522472924227259     1262.4630080116517092      -12.0850979230649020     -232.0477578472768982      -53.1241842545789495       -9.7329283034332494        0.8738636211849981       -0.1026225528612760
     6412     2911.2006156910442769     1264.9524551206445722      -12.9249537092685625     -223.4169734921752024      -49.0986848737584296      -10.5070050180692167        1.0254651183055992       -0.1041146040360444
     6413     2913.5331423565412479     1267.3603423887468580      -13.7955335039266735     -213.2673164384300435      -44.5550008991419872      -11.3012266122793523        1.1865521376639512       -0.1049530545511833
     6414     2915.9451162491509422     1269.6483304767393747      -14.6984532496678870     -201.5074364575634718      -39.4713116681828069      -12.1118584410101437        1.3559352063400150       -0.1050443343562339
     6415     2918.4317454919246302     1271.7756269048891227      -15.6352447904930596     -188.0583699941948908      -33.8304486948470640      -12.9345173841770436        1.5322147959659267       -0.1042966992257995
     6416     2920.9881830904951130     1273.6991647121449205      -16.6073311856105974     -172.8554995066933770      -27.6205050244243466      -13.7641709428367616        1.7138061115307011       -0.1026207199557299
     6417     2923.6095533091306606     1275.3738335402861139      -17.6159989869749722     -155.8503860121095386      -20.8353930147193296      -14.5951368505064583        1.8989396810881121       -0.0999303041374804
     6418     2926.2909787112766935     1276.7527642609379654      -18.6623793151799191     -137.0125757395503570      -13.4753799449458711      -15.4210953070384758        2.0856690870596628       -0.0961446941034926
     6419     2929.0276074312814671     1277.7876661581001372      -19.7474111183910885     -116.3312088550555927       -5.5475484231362771      -16.2351093153485699        2.2719044040558383       -0.0911895724700757
