ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
      189     1392.9799605372836595      881.5416979711486647       -4.1571933218420307      180.7790331225544378      623.2359796621749410       -1.2479957071667602       -0.0249079126029294      119.3410706652066722
      190     1392.8423095532284606      881.3320398345700823      -12.4805704101530957      180.6469853611199596      622.5421209158699867       -3.6894420695145396       -0.0793088621585953      119.3756265430463941
      191     1392.5682387625631691      880.9143628621322932      -20.8153338584348120      180.3503669768149393      621.1745020963551269       -6.1209942656813041       -0.1337226713764233      119.4426095053223094
      192     1392.1589180331693569      880.2908536412032845      -29.1689482985666615      179.8887908770875583      619.1309522681398221       -8.5274940581778793       -0.1877338509927531      119.5432198747477912
      193     1391.6160434519852060      879.4649452043458950      -37.5486810035947371      179.2640965795426382      616.4109284356054559      -10.8948865638426895       -0.2411150191144580      119.6773115875619879
      194     1390.9418756112520441      878.4412639949040340      -45.9614756379617262      178.4788800080195870      613.0165997089241046      -13.2108394204884334       -0.2937175236368014      119.8444199567416319
      195     1390.1392547990126332      877.2256527978508984      -54.4138796388184147      177.5356426696323524      608.9520135411337378      -15.4637656722637118       -0.3454172943233882      120.0440011045097890
      196     1389.2116020947050856      875.8251752198802933      -62.9119520294000480      176.4366214467697773      604.2226229848212142      -17.6423108977939194       -0.3960853395297617      120.2754556456789743
      197     1388.1629178290618256      874.2481321579360838      -71.4611837956529996      175.1838708408763523      598.8350802865641072      -19.7351666448110024       -0.4455875863824678      120.5381135665582661
      198     1386.9977788154083100      872.5040897377582496      -80.0664145322964487      173.7793802471387608      592.7971882027691208      -21.7310463468657247       -0.4937767782893119      120.8312205154539498
      199     1385.7213366722851333      870.6038976306783752      -88.7317451447987366      172.2251351727989004      586.1179290908478379      -23.6187078387583114       -0.5405058119089095      121.1539306044199833
      200     1384.3393126455252968      868.5597134402305528      -97.4604592507061085      170.5231764034540447      578.8075262883209007      -25.3869999612167874       -0.5856116685778414      121.5053028350407089
      201     1382.8579920907247924      866.3850329037442179     -106.2549402861111361      168.6756302562378096      570.8775272707327986      -27.0249200990552083       -0.6289357052986103      121.8842996366440445
      202     1381.2842189388197767      864.0947078054540498     -115.1165913172930146      166.6846947873066256      562.3408813466527363      -28.5216804909190387       -0.6703114393987364      122.2897853540317783
      203     1379.6253849895765597      861.7049696119559030     -124.0457624574837894      164.5526567256315502      553.2120249537791778      -29.8667818454776750       -0.7095718880498563      122.7205270389700047
      204     1377.8894190034397980      859.2334488417848206     -133.0416750713253577      162.2818996836163024      543.5069674614051110      -31.0500985613734315       -0.7465447279835319      123.1751953141842364
      205     1376.0847717084168380      856.6991866604223560     -142.1023552324722914      159.8749048030847462      533.2433708926612326      -32.0619643811176616       -0.7810605872338511      123.6523660859014200
      206     1374.2203986517804424      854.1226413734601692     -151.2245682208378241      157.3342400021460890      522.4406154481033582      -32.8932723730367798       -0.8129494227264005      124.1505222404813367
      207     1372.3057388678735151      851.5256923273700522     -160.4037619941047694      154.6625621848756964      511.1198634921354369      -33.5355821841037596       -0.8420438435776476      124.6680572438380636
      208     1370.3506883386305617      848.9316283259722695     -169.6340161236004178      151.8626404812498549      499.3041186714099240      -33.9812280549722061       -0.8681750583549150      125.2032790509566382
      209     1368.3655730416583083      846.3651307734276088     -178.9079956254908268      148.9373585868822829      487.0182614146222022      -34.2234365761265451       -0.8911840503716257      125.7544157160398868
      210     1366.3611126348062044      843.8522458957186245     -188.2169188194912124      145.8897257448493292      474.2890795982043528      -34.2564458062215067       -0.9109126171975550      126.3196206655843241
      211     1364.3483849859981092      841.4203413406582968     -197.5505261402364283      142.7229075430923331      461.1452794677359179      -34.0756220015924782       -0.9272127143155061      126.8969803490638242
      212     1362.3387807300812256      839.0980546111861713     -206.8970687671797180      139.4402337824124061      447.6174728383249430      -33.6775797618449246       -0.9399452624309893      127.4845227216596584
      213     1360.3439578855184209      836.9152193408912126     -216.2432995726842933      136.0452306459828833      433.7381525255411816      -33.0603008451792846       -0.9489816945511630      128.0802260804292700
      214     1358.3757885291236107      834.9027867573668118     -225.5744819720472378      132.5416578125527849      419.5416437997738512      -32.2232412277737126       -0.9542053992505558      128.6820302050263649
      215     1356.4463039982013015      833.0927162411700237     -234.8744055426023181      128.9335276963238357      405.0640230239303037      -31.1674335941228264       -0.9555191301055433      129.2878483796875742
