ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
        1      558.6899816079504717      856.0370455353005354       -4.3490565575951567    -1998.3471943831145836    -6649.8501562445471791       -0.5599156989114986       -0.0256719292915157      329.3258474468718191
        2      558.5956194588991366      855.8182367243675799      -13.0515969571843176    -1998.6119625084920699    -6650.8866535299675888       -1.7368725595062937       -0.0816761828944436      329.3597327279635465
        3      558.4081347346098028      855.3822612122210103      -21.7625255708068366    -1999.1947384381753636    -6652.9803761779239721       -2.8991423835180647       -0.1376830243071056      329.4324981426786394
        4      558.1286487198813120      854.7319865927952378      -30.4873650299319294    -2000.0874968195089423    -6656.1188655145160737       -4.0435479307071276       -0.1930270529892323      329.5419294072448793
        5      557.7588918677356560      853.8717229315997201      -39.2313446379113202    -2001.2800147800471677    -6660.2841682990720074       -5.1665707464250090       -0.2475263635337454      329.6868899425338100
        6      557.3012087875052885      852.8072486706510063      -47.9993884814845657    -2002.7631039993680133    -6665.4544370067806085       -6.2638273369681770       -0.3010736439977404      329.8665296695293137
        7      556.7585430251817797      851.5458066719454564      -56.7960217000330374    -2004.5277577950134855    -6671.6036447356473218       -7.3304193058752531       -0.3535444251610108      330.0799707427560179
        8      556.1344329100545565      850.0961190543107477      -65.6252974744154045    -2006.5643125720209810    -6678.7012415267199685       -8.3611847364520315       -0.4047908139953331      330.3261928572908914
        9      555.4330086417518260      848.4684006617414980      -74.4907107635649481    -2008.8620154580389681    -6686.7119243532506516       -9.3508160207869793       -0.4546503247574567      330.6040026216221008
       10      554.6589897466059256      846.6743713091868813      -83.3951171338686237    -2011.4088260114936020    -6695.5955127740317039      -10.2939672224866854       -0.5029504140295722      330.9120292352037040
       11      553.8176811899398899      844.7272680530873004      -92.3406575646587555    -2014.1913463409252927    -6705.3068995273551991      -11.1852996290007809       -0.5495174189385111      331.2487259764711212
       12      552.9149698692565380      842.6418603026443179     -101.3286763285536836    -2017.1947931113579671    -6715.7960483444003330      -12.0195148567627541       -0.5941724741771151      331.6123732220089551
       13      551.9573173122613525      840.4344597522811000     -110.3596487284604990    -2020.4029944133665140    -6727.0080258932139259      -12.7914135281754966       -0.6367394999891903      332.0010834088681690
       14      550.9517522833278917      838.1229254246636629     -119.4331099409589427    -2023.7984195677354364    -6738.8830677119231041      -13.4959094623804390       -0.6770432394853002      332.4128047526949103
       15      549.9058600473210845      835.7266661304945501     -128.5475853580896626    -2027.3622101183284485    -6751.3566745425114277      -14.1280783037028925       -0.7149117398521961      332.8453269982760503
       16      548.8277698154657855      833.2666367792799065     -137.7005297708039961    -2031.0742211095389393    -6764.3597395345968835      -14.6831969323255294       -0.7501764175383548      333.2962876584100513
       17      547.7261376664968111      830.7653295886547085     -146.8882693718927612    -2034.9130787014678390    -6777.8187133267110767      -15.1567860093862237       -0.7826754864759700      333.7631795959105716
       18      546.6101274487721184      828.2467554474799272     -156.1059488484640667    -2038.8562481062112965    -6791.6558065457429620      -15.5446529908178093       -0.8122534746783634      334.2433592396366180
       19      545.4893864758936388      825.7364117388677869     -165.3474860109878932    -2042.8801136277161277    -6805.7892360297119012      -15.8429499410277401       -0.8387647060494725      334.7340571157561158
       20      544.3740193323875474      823.2612489091393400     -174.6055356036826538    -2046.9600647072757056    -6820.1335124743372944      -16.0482187315578244       -0.8620714963752660      335.2323886821688461
       21      543.2745541241386036      820.8496188565743523     -183.8714575414378771    -2051.0706004379730985    -6834.5997815855862427      -16.1574460436206948       -0.8820509628821666      335.7353683953886048
       22      542.2019062952175545      818.5312105908352578     -193.1352954165541860    -2055.1854471488604759    -6849.0962083189660916      -16.1681334363086648       -0.8985910844177832      336.2399238349266852
       23      541.1673405620061885      816.3369737067598635     -202.3857666448701877    -2059.2776807888799340    -6863.5284160311548476      -16.0783241902011866       -0.9115971731000301      336.7429130113627025
       24      540.1824192222043166      814.2990263128313018     -211.6102601207032023    -2063.3198770605549726    -6877.7999819486440174      -15.8866852572165840       -0.9209916967590812      337.2411419320067694
       25      539.2589556576471068      812.4505488804841207     -220.7948444487155939    -2067.2842611474575278    -6891.8129753736684506      -15.5925486676750893       -0.9267151615199908      337.7313850150590042
       26      538.4089564780053934      810.8256576072355983     -229.9242906372031143    -2071.1428738563813567    -6905.4685548116412974      -15.1959607212021979       -0.9287301355259165      338.2104070457801299
       27      537.6445605811494488      809.4592651588098988     -238.9821049760921596    -2074.8677589468961742    -6918.6676148993283277      -14.6977250921135578       -0.9270222156863404      338.6749854688415553
       28      536.9779734853278796      808.3869227920531557     -247.9505717388422283    -2078.4311498975912400    -6931.3114744070053348      -14.0994549217512599       -0.9215999290854614      339.1219357298797377
       29      536.4213981218954359      807.6446464025802925     -256.8108141451973552    -2081.8056665603762667    -6943.3026088824663020      -13.4035950011431169       -0.9124983172173734      339.5481371105105382
       30      535.9869601271169586      807.2687199197081327     -265.5428639304712988    -2084.9645384157179251    -6954.5454282043001513      -12.6134434227705015       -0.8997811833851657      339.9505593534519221
       31      535.6866282546949378      807.2954933056093978     -274.1257447792635844    -2087.8818126644364384    -6964.9470720628933122      -11.7331877744464350       -0.8835370225312433      340.3262896877262165
       32      535.5321364615774655      807.7611566384098296     -282.5375694850061450    -2090.5325769640899125    -6974.4182391537688090      -10.7678896250931189       -0.8638867998628597      340.6725626557691271
       33      535.5348964467319774      808.7014965911355375     -290.7556488565423933    -2092.8931979004214554    -6982.8740310786142800       -9.7234928927423994       -0.8409801365180728      340.9867865296631635
       34      535.7059144931719175      810.1516503478937921     -298.7566121339084475    -2094.9415360094913012    -6990.2347950161783956       -8.6068060481806015       -0.8149945072654912      341.2665722767667376
       35      536.0557028008975067      812.1458405114619836     -306.5165421174145308    -2096.6571735342699867    -6996.4269722040535271       -7.4254666710572224       -0.7861399135258602      341.5097613460000048
       36      536.5941910547517182      814.7170998323108506     -314.0111147860668552    -2098.0216441266456968    -7001.3839260774329887       -6.1879077129750044       -0.7546536327867366      341.7144512870340805
       37      537.3306403795778579      817.8969929682418751     -321.2157543797253538    -2099.0186344253347670    -7005.0467379933088523       -4.9033079474029932       -0.7208007214096213      341.8790218368286560
       38      538.2735592955572201      821.7153265013632790     -328.1057953013895485    -2099.6341940320917274    -7007.3649746665960265       -3.5814961992611529       -0.6848746752039631      342.0021575829219955
       39      539.4306136670480782      826.1998664455105654     -334.6566476982430913    -2099.8569224052912432    -7008.2973957747008171       -2.2329121865061552       -0.6471913919870270      342.0828689117032013
       40      540.8085531349657913      831.3760483136677522     -340.8439740278166710    -2099.6781346597895208    -7007.8125961679997999       -0.8684785655177052       -0.6080903286989617      342.1205107118035471
       41      542.4131303480586439      837.2666936009127312     -346.6438638447181688    -2099.0920184735718976    -7005.8895761849153132        0.5004842819946020       -0.5679306640156491      342.1147975896523121
       42      544.2490330566668035      843.8917304045271521     -352.0330162777112264    -2098.0957604979766984    -7002.5182186844795069        1.8623892623975280       -0.5270875726372347      342.0658146774218267
       43      546.3198159279169204      851.2679365709086596     -356.9889179695443886    -2096.6896403983300843    -6997.6996654581680559        3.2054885168828378       -0.4859480311175773      341.9740259139114755
       44      548.6278454907289870      859.4086846316081392     -361.4900206747058746    -2094.8771038921222498    -6991.4465822602805929        4.5180186422953739       -0.4449084296707753      341.8402781065948943
       45      551.1742508411294921      868.3237076044663354     -365.5159153764523126    -2092.6648030040582853    -6983.7833029343719318        5.7883412101907084       -0.4043689186566751      341.6657993007303276
       46      553.9588817277283397      878.0188894992572841     -369.0474998685892274    -2090.0626003731449600    -6974.7458463714647223        7.0050819128463218       -0.3647290532047507      341.4521933743898785
       47      556.9802766470323832      888.4960807653450274     -372.0671373219085467    -2087.0835348416303532    -6964.3817940079989057        8.1572648117725066       -0.3263822566706643      341.2014298497390428
       48      560.2356459190699525      899.7529360698126766     -374.5588066767654709    -2083.7437553696299801    -6952.7500293811845040        9.2344778601255371       -0.2897116256033647      340.9158285800554040
       49      563.7208585175018243      911.7827910623668686     -376.5082381492907189    -2080.0624130440573936    -6939.9203361896034039       10.2269965017128470       -0.2550836861924005      340.5980397524309637
       50      567.4304454591684816      924.5745664867063169     -377.9030368020758601    -2076.0615168996209832    -6925.9728527766983461       11.1259318100750875       -0.2228439295712045      340.2510189979160486
       51      571.3576106741925287      938.1127127433462647     -378.7327882729931048    -2071.7657534208151446    -6910.9973860265372423       11.9233460952023620       -0.1933109231656995      339.8779982034231466
       52      575.4942589256943393      952.3771866802146633     -378.9891495571448559    -2067.2022664538412755    -6895.0925887383291411       12.6123877635840813       -0.1667719826398712      339.4824515893349144
       53      579.8310278345928737      967.3434749392552021     -378.6659186716357226    -2062.4004055872110257    -6878.3650096533056058       13.1873812161757087       -0.1434774262561832      339.0680583006768529
       54      584.3573397385430326      982.9826498079296471     -377.7590866857624405    -2057.3914413374141077    -6860.9280236037857321       13.6439304658711649       -0.1236376221055853      338.6386616250938459
       55      589.0614568381492973      999.2614707241993983     -376.2668683277112223    -2052.2082499108109914    -6842.9006550795729709       13.9789897581939044       -0.1074172637414214      338.1982241532730313
       56      593.9305503804902173     1016.1425295930733910     -374.1897096541937344    -2046.8849675859603394    -6824.4063061861670576       14.1909100090484799       -0.0949323431428014      337.7507826476896753
       57      598.9507820500207345     1033.5844214600979285     -371.5302774734799414    -2041.4566375156578033    -6805.5714133214223693       14.2794920220273980       -0.0862496826851618      337.3003996929685400
       58      604.1073890249451779     1051.5419636494721090     -368.2934257490920231    -2035.9588276490583212    -6786.5240407413875801       14.2459966642492759       -0.0813810835019179      336.8511133537208480
       59      609.3847791840860282     1069.9664536851050798     -364.4861410529145473    -2030.4272383452903341    -6767.3924372666115232       14.0931277707313143       -0.0802846148383691      336.4068896724244269
       60      614.7666356341683240     1088.8059492310783298     -360.1174680590156072    -2024.8973079069023697    -6748.3035753251297137       13.8250186270563518       -0.0828631118216184      335.9715728208287260
       61      620.2360231479681261     1108.0055863740690256     -355.1984155251336119    -2019.4038129913496959    -6729.3816947937575605       13.4471772342641884       -0.0889643546886965      335.5488376831841606
       62      625.7755003618393630     1127.5079203890768440     -349.7418438982845146    -2013.9804805060939543    -6710.7468740601079844       12.9664112417966635       -0.0983835008239796      335.1421449737908915
       63      631.3672362061438434     1147.2532862853106508     -343.7623379785725888    -2008.6596094926544538    -6692.5136485998809803       12.3907437806034864       -0.1108637119101163      334.7546974963331081
