ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
     1505     2909.0535591249481513     1023.8534344309180142       -2.5570949457247028     -123.7292208724234115     -135.0345838102778089       -0.9273842232831524        0.0112587290305694        1.7996610955739616
     1506     2909.1747157013305696     1023.7789972319308163       -7.6742902168208413     -123.4839934102915322     -134.9896501657526642       -2.7839642605364983        0.0338258303751542        1.7995188057261531
     1507     2909.4168998102572914     1023.6296437856296961      -12.8035503783476123     -122.9922322307502327     -134.8991778910071844       -4.6395985260428105        0.0566466057456424        1.7992404042086563
     1508     2909.7796961498629571     1023.4044754545660680      -17.9528539028530929     -122.2501868224262580     -134.7626675272772445       -6.4934417431111378        0.0798762137915882        1.7988453940749525
     1509     2910.2624764465613225     1023.1021594481773036      -23.1300859627809317     -121.2524014342366172     -134.5794443372003570       -8.3444150621172959        0.1036581658873177        1.7983642641310249
     1510     2910.8644166304870851     1022.7209393476543937      -28.3429834420166067     -119.9918520909468498     -134.3486761737237885      -10.1911095018984135        0.1281188541460783        1.7978367694322592
     1511     2911.5844964405137034     1022.2586480848026440      -33.5991010949213518     -118.4601841055796285     -134.0694379946412482      -12.0316926994251148        0.1533557072370010        1.7973107569187843
     1512     2912.4215080455514908     1021.7127379953527679      -38.9057659515504710     -116.6480367394956374     -133.7408080085790516      -13.8638259837671356        0.1794307870071141        1.7968414123905232
     1513     2913.3740653228105657     1021.0803064381630065      -44.2700345263018775     -114.5453374784001426     -133.3619516109661163      -15.6845888523867245        0.2063832442164836        1.7964901042520705
     1514     2914.4406148072853284     1020.3581332674120858      -49.6986392385486795     -112.1416707640764798     -132.9322227514358019      -17.4904114064910061        0.2342023247291966        1.7963228754105502
     1515     2915.6194482174682889     1019.5427228823521091      -55.1979425299811268     -109.4267373706270519     -132.4512914474980789      -19.2770161683456536        0.2628365663557582        1.7964091312788828
     1516     2916.9087153607661094     1018.6303562128144904      -60.7738888937795423     -106.3907651872259521     -131.9192531137766764      -21.0393678285533241        0.2921949480288759        1.7968203331220058
     1517     2918.3064391938987683     1017.6171491883499129      -66.4319415806792506     -103.0249586235108836     -131.3367456803525783      -22.7716343869720248        0.3221381579847808        1.7976273617028160
     1518     2919.8105310946425561     1016.4991235000863981      -72.1770427508981953      -99.3220047811250879     -130.7050791775052403      -24.4671677327865353        0.3524761336029992        1.7988986174653028
     1519     2921.4188084705074289     1015.2722827332452198      -78.0135377212837113      -95.2765967420314155     -130.0263675003827757      -26.1184903082989450        0.3829690821454212        1.8006986516381551
     1520     2923.1290114298744811     1013.9327033666604621      -83.9451336309559792      -90.8858725420709561     -129.3036275630252021      -27.7173001103381864        0.4133432840463301        1.8030851593487089
     1521     2924.9388217840964899     1012.4766320223486673      -89.9748252526493388      -86.1498797785384340     -128.5408803245425133      -29.2544904393419500        0.4432695799169629        1.8061073365954483
     1522     2926.8458815562648851     1010.9005957232965329      -96.1048462101005612      -81.0721015867547976     -127.7432649376496556      -30.7201831466326496        0.4723761284057947        1.8098035773139258
     1523     2928.8478118757739139     1009.2015208343402719     -102.3366035822118363      -75.6598444965961789     -126.9171045328444052      -32.1037823320780973        0.5002621578922511        1.8141985593878938
     1524     2930.9422336979405372     1007.3768606764692777     -108.6706065238716405      -69.9246122757595003     -126.0699611221984924      -33.3940423721421666        0.5264883650229997        1.8193016589160245
     1525     2933.1267848771376521     1005.4247347169077784     -115.1064265465966372      -63.8824499391271274     -125.2106740438500765      -34.5791524218458193        0.5505939135622900        1.8251048701418418
     1526     2935.3991409614732220     1003.3440716226751874     -121.6426207006550015      -57.5542347107998467     -124.3493771123494298      -35.6468356796614501        0.5720900231040442        1.8315804359871839
     1527     2937.7570324131947928     1001.1347610984490757     -128.2766855960881003      -50.9658644586352239     -123.4974775707207755      -36.5844701018816920        0.5904889049670206        1.8386783673469616
     1528     2940.1982624885267796      998.7978084230674085     -135.0049994204000541      -44.1483605545413411     -122.6676035566965766      -37.3792209491553251        0.6052917694325939        1.8463257190464581
     1529     2942.7207232983382710      996.3354922776748026     -141.8227775008788569      -37.1379365194156890     -121.8735359906017948      -38.0181879310262332        0.6160091732140642        1.8544244387630935
     1530     2945.3224109840534766      993.7515207253588869     -148.7240229475095816      -29.9759188781254124     -121.1300914049561470      -38.4885674674730751        0.6221703231667641        1.8628503729488486
     1531     2948.0014391981076187      991.0511854669628065     -155.7014903587493109      -22.7085752700136254     -120.4529728676441209      -38.7778233162349579        0.6233328822204561        1.8714524294077053
     1532     2950.7560493300998132      988.2415101270013338     -162.7466602027788554      -15.3868814718616704     -119.8586008540851253      -38.8738706315280069        0.6190865151630016        1.8800520528342985
     1533     2953.5846219327704603      985.3313865906206956     -169.8497006312349527       -8.0661123639379184     -119.3638906926050822      -38.7652658902441942        0.6090839449386825        1.8884424691676684
     1534     2956.4856805450890533      982.3317033648115739     -176.9994716036052864       -0.8053928785429889     -118.9860164879680724      -38.4414036948204796        0.5930180108469815        1.8963900958452615
     1535     2959.4578980992046127      979.2554531365774437     -184.1835059088095079        6.3328802470750816     -118.7421404029730638      -37.8927131568723610        0.5706707727265927        1.9036340803942970
     1536     2962.5000981471425803      976.1178215956484792     -191.3880128968870906       13.2837581415615205     -118.6491028668967829      -37.1108583038214874        0.5418915609181684        1.9098884890175707
     1537     2965.6112509727727229      972.9362568842777819     -198.5979100734651581       19.9804591144225014     -118.7231177298588136      -36.0889303795420631        0.5066188236443252        1.9148437631417554
     1538     2968.7904732730830801      969.7305038033763367     -205.7968244662521045       26.3552781823550504     -118.9794209185365617      -34.8216355713802557        0.4648945396927652        1.9181687897730877
     1539     2972.0370147294552226      966.5226191349648843     -212.9671624137150445       32.3405082450531154     -119.4319229361960879      -33.3054725327715744        0.4168517390856802        1.9195140562397139
     1540     2975.3502528684316530      963.3369424631297306     -220.0901327792248594       37.8694074300456123     -120.0928623593201792      -31.5388949888932757        0.3627341813607038        1.9185147024357352
     1541     2978.7296746121596698      960.2000408501423863     -227.1458310826141087       42.8772870329776197     -120.9724349858374808      -29.5224570662383599        0.3028987994067826        1.9147943458816563
     1542     2982.1748612551009501      957.1406109328933098     -234.1133079675486783       47.3025592527442313     -122.0784527860109847      -27.2589388822562455        0.2378035742708763        1.9079693236575970
     1543     2985.6854693427849270      954.1893413013940517     -240.9706537026446256       51.0877923826665210     -123.4160190399170460      -24.7534455069802561        0.1680187353529400        1.8976534466315820
     1544     2989.2612045992327694      951.3787406392897310     -247.6951134556723275       54.1808279970546209     -124.9872034304714816      -22.0134820858211242        0.0942251224030937        1.8834628284659427
     1545     2992.9018006482406236      948.7429172454518493     -254.2631832323096432       56.5357843346364461     -126.7907736745805778      -19.0489947621682632        0.0171903600638317        1.8650215444312750
     1546     2996.6069891254555841      946.3173257800879128     -260.6507433504776827       58.1140108948075067     -128.8219636430224000      -15.8723820066800840       -0.0622198245400790        1.8419666650585198
     1547     3000.3764695888953611      944.1384734670472199     -266.8331924004927487       58.8850497841563083     -131.0722632156500822      -12.4984726042812326       -0.1430548183120989        1.8139541239326609
     1548     3004.2098807146517174      942.2435874771704221     -272.7855808634437835       58.8274173243744372     -133.5292859044438956       -8.9444637655791439       -0.2243050854759997        1.7806648186872429
     1549     3008.1067658377232874      940.6702532845309861     -278.4827684081878942       57.9292763454409396     -136.1766929686882577       -5.2298259155870142       -0.3049010866730960        1.7418096415907875
     1550     3012.0665404904325442      939.4560204626262703     -283.8995755438716060       56.1890163604166446     -138.9941690702769392       -1.3761702332968753       -0.3837361778889013        1.6971353043376032
     1551     3016.0884591810245183      938.6379841985993835     -289.0109427878815609       53.6156373352109767     -141.9574797608065637        2.5929208528515346       -0.4596859188992104        1.6464295867128056
     1552     3020.1715783236759307      938.2523502236999775     -293.7921045244098082       50.2289845533446169     -145.0385954819507788        6.6520964781223029       -0.5316216394949558        1.5895260249839136
     1553     3024.3147292688418020      938.3339765683431324     -298.2187304990904408       46.0598126084732939     -148.2058870193095572       10.7744761650666305       -0.5984337992040971        1.5263084332172276
     1554     3028.5164777028576282      938.9159218586387396     -302.2671175737102658       41.1496513916517870     -151.4243986422072794       14.9319141209144277       -0.6590507669648641        1.4567146474454602
     1555     3032.7750986178152743      940.0289786567493593     -305.9143284535650764       35.5504720519847979     -154.6561965408891410       19.0952955334347507       -0.7124622051108399        1.3807397521151339
     1556     3037.0885423843701574      941.7012235191792797     -309.1383628430465933       29.3241688109255847     -157.8607856752196312       23.2348517119529561       -0.7577344170405890        1.2984383199912113
     1557     3041.4544085271072618      943.9575749022046693     -311.9183021804834084       22.5418704274497941     -160.9955866874975072       27.3204945280133416       -0.7940305909059644        1.2099259430216882
     1558     3045.8699186449466652      946.8193752162019337     -314.2344585273532402       15.2830277195907911     -164.0164865991703209       31.3221638770073696       -0.8206360236474478        1.1153801481319792
     1559     3050.3318952226773035      950.3039971966522899     -316.0685012573027848        7.6343732580489814     -166.8784293453975351       35.2101818684212731       -0.8369592312084516        1.0150398064532007
     1560     3054.8367389759118851      954.4244898407372375     -317.4035889587968313       -0.3112511788744996     -169.5360447021537311       38.9556075784886957       -0.8425573085066296        0.9092039272428600
