ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
    14853      558.6905615416660567      856.0372241841029108        4.3508178976195104    -1998.3942778979208015    -6649.8719373792482656        0.6261012333708509       -0.0135101193203908     -329.3304569139814362
    14854      558.5971626967264001      855.8187339144162706       13.0536489586347333    -1998.7349999902712625    -6650.9427392915267774        1.8156814170874451       -0.0357041150267273     -329.3696662408075895
    14855      558.4103069527171783      855.3829831272953470       21.7648712654339178    -1999.3602170247204413    -6653.0536137434373813        3.0034729782851635       -0.0573921281028602     -329.4427399199212800
    14856      558.1312372711203125      854.7328632464327711       30.4898595759957978    -2000.2719628585246028    -6656.1970031870141611        4.1816634244680415       -0.0789053930701020     -329.5511937829919589
    14857      557.7617683431886917      853.8727164315306482       39.2338469781945633    -2001.4714837314104443    -6660.3608275497936120        5.3427727264399323       -0.1000898544569405     -329.6951162580846812
    14858      557.3042835315383172      852.8083264021504419       48.0017619522722327    -2002.9560091434111655    -6665.5268697408573644        6.4801974768407362       -0.1207171135121801     -329.8739600388532835
    14859      556.7617502013770263      851.5469400357181939       56.7981527074909494    -2004.7196089918645612    -6671.6710476676098551        7.5878473543626512       -0.1405748326686810     -330.0868571149118225
    14860      556.1377210465976759      850.0972816340449754       65.6270943502327242    -2006.7540409594287212    -6678.7637524733545433        8.6599190261389936       -0.1594739483980751     -330.3327343149925923
    14861      555.4363365364323499      848.4695703801587570       74.4921052045210104    -2009.0492054856495088    -6686.7700821793505384        9.6907899088439535       -0.1772420813408988     -330.6103450094848881
    14862      554.6623238788782828      846.6755282953146207       83.3960610680910150    -2011.5933583949795320    -6695.6499823120493602       10.6749405870892673       -0.1937145348740288     -330.9182761319461292
    14863      553.8209941056418302      844.7283979331809860       92.3411193501773795    -2014.3732177488852813    -6705.3583353589065155       11.6069526086301806       -0.2087341472296865     -331.2549496678694823
    14864      552.9182389937317339      842.6429510721922043      101.3286377551395105    -2017.3740358119184748    -6715.8450343793538195       12.4814874118354595       -0.2221478055243004     -331.6186232975588268
    14865      551.9605241786424585      840.4354992694135262      110.3591035121089163    -2020.5796354470762708    -6727.0550518478321464       13.2933196153497306       -0.2338048657815135     -332.0073923011171360
    14866      550.9548820610638131      838.1239085411907581      119.4320610744321129    -2023.9724553871931221    -6738.9285232223937783       14.0373533557137762       -0.2435612908372534     -332.4191928086893313
    14867      549.9089012591682604      835.7275863885654417      128.5460422914294156    -2027.5336076892451729    -6751.4008581205043811       14.7086427877214589       -0.2512764942378202     -332.8518049095989682
    14868      548.8307125577871375      833.2674901776358638      137.6985089740618946    -2031.2429164162301731    -6764.4028670402421994       15.3024570370700985       -0.2568156713163080     -333.3028583935207507
    14869      547.7289745817836319      830.7661146808463855      146.8857896160107543    -2035.0789756504204888    -6777.8609275464623352       15.8142952788203957       -0.2600499532242574     -333.7698403829425047
    14870      546.6128522319514786      828.2474695429028770      156.1030330381699116    -2039.0192234544438179    -6791.6971910727042996       16.2399426254915227       -0.2608600417610570     -334.2501023789333203
    14871      545.4919943050725806      825.7370553202742940      165.3441581069000677    -2043.0400186836363901    -6805.8298234772337310       16.5755323385980660       -0.2591342834339292     -334.7408707655848161
