ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
     5265     2889.2097344836311095     1214.5849962070719812       -0.6359982021478494     -238.2930083054384340      -67.0058961984636881       -0.4030927402639632       -0.0016272589752589       -0.1213985024929969
     5266     2889.3402580440083511     1214.7649069279500509       -1.9092605619325238     -238.3632721974126980      -66.9559102226990035       -1.2124048044349669       -0.0043094441982582       -0.1221612296443009
     5267     2889.6010233013312245     1215.1235988851565253       -3.1867675190190172     -238.4923392128130217      -66.8524446461956359       -2.0303683862578623       -0.0052557035899450       -0.1236747235988387
     5268     2889.9914672173508734     1215.6588169584820207       -4.4713645766889236     -238.6573510226630788      -66.6885372958940934       -2.8626357051754585       -0.0033353623474344       -0.1259154352351457
     5269     2890.5107474541027841     1216.3671300761131988       -5.7659246219958202     -238.8243723277246318      -66.4538720006964923       -3.7146898855068722        0.0025499269791384       -0.1288479625112503
     5270     2891.1577446907913327     1217.2438746128766525       -7.0733562629411670     -238.9487597062361601      -66.1349139801463934       -4.5917715418957190        0.0134529243332542       -0.1324247881290234
     5271     2891.9310661621993859     1218.2830816832979508       -8.3966120172055518     -238.9756807660533013      -65.7150977665539813       -5.4988114674696638        0.0303644766818713       -0.1365870655101966
     5272     2892.8290501689416487     1219.4773901326589112       -9.7386871230485923     -238.8407773800931864      -65.1750661385940475       -6.4403624313219598        0.0542001655860911       -0.1412647095161496
     5273     2893.8497713430792828     1220.8179485479909090      -11.1026425729768299     -238.4709379232922402      -64.4929470401445997       -7.4205280987269013        0.0857901487779238       -0.1463761851149743
     5274     2894.9910475201772897     1222.2943085204981344      -12.4915849126187712     -237.7851665036109807      -63.6446653785649232       -8.4428951637604648        0.1258700286257295       -0.1518287629560904
     5275     2896.2504474465968087     1223.8943135739816626      -13.9086829697253282     -236.6956464313639117      -62.6043185825330966       -9.5104614201702091        0.1750502841647099       -0.1575189212593823
     5276     2897.6253001303498422     1225.6039870532354144      -15.3571575770936057     -235.1088818393659494      -61.3445785632115985      -10.6255677812336966        0.2338303823963655       -0.1633328241170216
     5277     2899.1127053216027889     1227.4074234390775473      -16.8402792651904960     -232.9269486547582346      -59.8371284883119188      -11.7898310923369269        0.3025634825317668       -0.1691469892634574
     5278     2900.7095455421367660     1229.2866874565702346      -18.3613587910935898     -230.0488402365431284      -58.0531286195096072      -13.0040785787011082        0.3814713159352782       -0.1748285436220304
     5279     2902.4124998533534381     1231.2217252430618828      -19.9237270318239297     -226.3719598671768836      -55.9637265460346498      -14.2682821314930024        0.4706006899748861       -0.1802356751212316
     5280     2904.2180585837327271     1233.1902930884884881      -21.5307373752079343     -221.7936637754287403      -53.5405802171828782      -15.5814959422080399        0.5698571679260408       -0.1852193577872993
     5281     2906.1225402853870037     1235.1679066882525149      -23.1857250805045965     -216.2128720289424564      -50.7563992437899287      -16.9418028211606497        0.6789573572047030       -0.1896238016055415
     5282     2908.1221096205372305     1237.1278174281587781      -24.8920022824972094     -209.5317949436675917      -47.5855150950183088      -18.3462590399243659        0.7974550671377048       -0.1932878383114078
     5283     2910.2127970989031382     1239.0410180189117000      -26.6528169769815406     -201.6576437274602540      -44.0044412882905362      -19.7908511678073502        0.9247179746535265       -0.1960459954583841
     5284     2912.3905196959926798     1240.8762829551851610      -28.4713335724670813     -192.5044181362741256      -39.9924481768618989      -21.2704525338680455        1.0599368567676284       -0.1977298490745079
     5285     2914.6511031344198273     1242.6002460436286583      -30.3505895739493106     -181.9946506171886540      -35.5321160319788305      -22.7787944715037192        1.2021263748531914       -0.1981701664613703
     5286     2916.9903045552505318     1244.1775189424047312      -32.2934648980289865     -170.0611757953074630      -30.6098860490521929      -24.3084438171287047        1.3501195370665071       -0.1971984172149907
     5287     2919.4038367867506167     1245.5708522460060976      -34.3026343341515982     -156.6488663626469133      -25.2165898537459725      -25.8507936091905073        1.5025822827344202       -0.1946488890257337
     5288     2921.8873918283147759     1246.7413415360672388      -36.3805337618753128     -141.7162550323932919      -19.3479315333504474      -27.3960629935358781        1.6580224979805878       -0.1903605925185764
     5289     2924.4366660210125701     1247.6486778443613730      -38.5292985856505368     -125.2370811587343269      -13.0049347445967669      -28.9333124650228655        1.8147973708995884       -0.1841796158067063
     5290     2927.0473836494920761     1248.2514442419887928      -40.7507273695808436     -107.2017365686319863       -6.1943453348897037      -30.4504734289513266        1.9711286519032298       -0.1759616011317119
     5291     2929.7153209645684910     1248.5074558046969742      -43.0462251235284086      -87.6185396625292015        1.0710312244991655      -31.9343920689413352        2.1251227422813654       -0.1655738713474800
     5292     2932.4363285666863703     1248.3741419624343507      -45.4167556330758515      -66.5148317591906562        8.7720606271732322      -33.3708897329596539        2.2747878701731139       -0.1528983691775552
     5293     2935.2063533002897202     1247.8089671645450380      -47.8627804914049477      -43.9378542462104633       16.8830894603011075      -34.7448442237165054        2.4180630472508753       -0.1378340725071681
     5294     2938.0214574042324784     1246.7698871726383913      -50.3842157850210981      -19.9554241248260951       25.3718305829215751      -36.0402837690010429        2.5528301558390218       -0.1202993396221965
     5295     2940.8778363423543851     1245.2158341333717999      -52.9803739372604738        5.3436903251845251       34.1993498087133503      -37.2405032308293116        2.6769641144286944       -0.1002348474111602
     5296     2943.7718332462541184     1243.1072260806859049      -55.6499227328538595       31.8496520845465056       43.3201432072321495      -38.3281973180767181        2.7883359969063539       -0.0776056018369996
     5297     2946.6999520488770941     1240.4064913324800727      -58.3908217479431428       59.4317015752803854       52.6823028978071761      -39.2856110647979833        2.8848625089217408       -0.0524034090561589
     5298     2949.6588652495224778     1237.0786035236992575      -61.2002946092257716       87.9387089592737539       62.2278143396047199      -40.0947101380647624        2.9645407649870190       -0.0246491219107212
     5299     2952.6454202075760804     1233.0916149063400553      -64.0747769574794717      117.1999531767105509       71.8929275345346923      -40.7373657006291126        3.0254585276476571        0.0056056596415222
     5300     2955.6566407122963938     1228.4171817999235827      -67.0098862963079824      147.0262363169281343       81.6086346638367104      -41.1955572445575839        3.0658518445151910        0.0382766744535952
     5301     2958.6897247660572248     1223.0310712495743246      -70.0003940946907619      177.2113917306064650       91.3012679917881087      -41.4515888085951474        3.0841268550257661        0.0732459364311935
     5302     2961.7420392778049063     1216.9136389875839086      -73.0401972710050131      207.5340384838805221      100.8931712250378041      -41.4883163816644611        3.0788868794044060        0.1103605748183434
     5303     2964.8111104040444843     1210.0502703124909658      -76.1223061715781313      237.7596303295172220      110.3034566822527722      -41.2893874785809487        3.0489647254537182        0.1494323439246333
     5304     2967.8946104217566244     1202.4317729510701156      -79.2388339097631444      267.6428542503940662      119.4488621608254562      -40.8394865544753145        2.9934591469914249        0.1902374968977213
     5305     2970.9903407693568624     1194.0547144809549991      -82.3810031219526593      296.9302042362924112      128.2446533779796027      -40.1245849458598514        2.9117326360110218        0.2325172451719230
     5306     2974.0962124690768178     1184.9216944516283547      -85.5391547129795384      325.3627860450496883      136.6055844249133315      -39.1321935077743461        2.8034592290573199        0.2759782208451926
     5307     2977.2102243439499034     1175.0415434520098188      -88.7027588600207793      352.6793792555799882      144.4469222768534564      -37.8516113156363190        2.6686264128836852        0.3202942542403243
     5308     2980.3304367350319808     1164.4294461900262831      -91.8604624091465212      378.6195502796317669      151.6854734322598688      -36.2741704818104012        2.5075417969634408        0.3651081599711057
     5309     2983.4549468131835965     1153.1069775505111465      -95.0001113947729010      402.9268745194976873      158.2406245218292042      -34.3934679196781872        2.3208464147024968        0.4100341283362734
     5310     2986.5818599502954385     1141.1020539287069369      -98.1088122567130085      425.3522263480726906      164.0353864784565303      -32.2055870574521919        2.1095132273981045        0.4546607216239942
     5311     2989.7092618350734483     1128.4487940065791918     -101.1729913305696869      445.6570299338968653      168.9974070063065028      -29.7092996378983685        1.8748383042684278        0.4985544557768502
     5312     2992.8351916051874468     1115.1872888962673187     -104.1784574805679711      463.6164438114133191      173.0599424612357780      -26.9062453172625027        1.6184343007338069        0.5412636978496067
     5313     2995.9576137631784150     1101.3632858832629609     -107.1104938912184821      479.0224307548637626      176.1627756112573024      -23.8010882931908156        1.3422118152464475        0.5823232164650445
     5314     2999.0743946160928317     1087.0277839580458021     -109.9539324324450007      491.6866395631964224      178.2530553495876120      -20.4016407358527516        1.0483579811747952        0.6212590300736610
     5315     3002.1832783220884266     1072.2365516680333712     -112.6932616909213323      501.4430432004437534      179.2860443745580596      -16.7189573140379650        0.7393071524867840        0.6575937112741893
     5316     3005.2818679313832035     1057.0495690536404254     -115.3127232932548907      508.1503051236059036      179.2257657549976102      -12.7673910675141258        0.4177136689896674        0.6908518750308330
     5317     3008.3676094473776175     1041.5304044103099841     -117.7964192416013134      511.6938356593173012      178.0455392462299642       -8.5646118855874533        0.0864152065657142        0.7205659643408866
     5318     3011.4377789009809021     1025.7455362494379187     -120.1284337821685284      511.9874512673090976      175.7283830375988600       -4.1315854895358939       -0.2516117464817614        0.7462823461722463
     5319     3014.4894755266004722     1009.7636284070359807     -122.2929450308579931      508.9746650805050194      172.2672907538783420        0.5074921482652712       -0.5932822636618591        0.7675671422979602
     5320     3017.5196192090706973      993.6547723155103995     -124.2743416819214133      502.6295864277026340      167.6653805489625029        5.3253024263460702       -0.9354523770134445        0.7840123410183107
     5321     3020.5249518953423831      977.4897102409233867     -126.0573516298341872      492.9573019310751079      161.9358802821475365       10.2915556686948264       -1.2749740384507950        0.7952418721410662
     5322     3023.5020450865808925      961.3390498111566558     -127.6271597399260003      479.9938683736386338      155.1019902753419046       15.3731856953243948       -1.6087180001177672        0.8009169662127623
     5323     3026.4473130741098430      945.2724836629400897     -128.9695158209171666      463.8059117990674167      147.1966257116214365       20.5345890794629327       -1.9336307892637961        0.8007417505890303
     5324     3029.3570275562969982      929.3580321910983457     -130.0708691675662294      444.4897076860443121      138.2620022487490132       25.7379006397312082       -2.2467804829431373        0.7944685561723290
     5325     3032.2273416990692567      913.6613132197503546     -130.9184564134948232      422.1699002586947245      128.3491174558791954       30.9433145217716685       -2.5453831222043575        0.7819022038600394
     5326     3035.0543131632057339      898.2448608900438103     -131.5004222256796993      396.9978561413586249      117.5171270456485217       36.1094336002598482       -2.8268491036459231        0.7629039378748319
     5327     3037.8339340038014598      883.1674971010226045     -131.8059080576906297      369.1496134512976823      105.8326078748928012       41.1936546683627967       -3.0888163751390998        0.7373953687646017
     5328     3040.5621620194533534      868.4837692106289069     -131.8251396186592501      338.8235860908412178       93.3687568442446718       46.1525825407366597       -3.3291651960819575        0.7053610222960451
     5329     3043.2349530236156170      854.2434632393944867     -131.5495165402299449      306.2380095078406157       80.2045227946643990       50.9424631351060668       -3.5460538053239814        0.6668501098995631
     5330     3045.8482980753492484      840.4911945108472082     -130.9716606822126721      271.6281112621118154       66.4236704331692636       55.5196383986395290       -3.7379369941123475        0.6219783410165352
     5331     3048.3982554648523546      827.2660899045642964     -130.0854999007284789      235.2432197582952540       52.1138356142292878       59.8410097558766552       -3.9035579630845105        0.5709278194206138
     5332     3050.8809881286233576      814.6015543213090950     -128.8862942597923791      197.3437478750474838       37.3655601962105948       63.8645109789642618       -4.0419798612086364        0.5139472842514462
     5333     3053.2927954342076191      802.5251328036530367     -127.3706856401148571      158.1981082976321886       22.2713173703780285       67.5495802507151666       -4.1525676593646210        0.4513506355652299
     5334     3055.6301455449538480      791.0584612430783409     -125.5367155770909875      118.0797084063328839        6.9245756978381223       70.8576247005538278       -4.2349880862831961        0.3835146697105794
     5335     3057.8897040196816306      780.2173073183646466     -123.3838399502455587       77.2639844792520307       -8.5811136082454595       73.7524744969725532       -4.2892011698034178        0.3108766447078324
     5336     3060.0683591119786797      770.0116971429450814     -120.9129317642171060       36.0255655860701154      -24.1529789529299705       76.2008179445627860       -4.3154419141565858        0.2339309190743785
     5337     3062.1632433752197358      760.4461222394688775     -118.1262720690201036       -5.3643955365091642      -39.6998300324933098       78.1726157262287842       -4.3142038835982524        0.1532243613435198
     5338     3064.1717500329923496      751.5198216248070366     -115.0275371861294786      -46.6406439395786947      -55.1327780191917327       79.6414808917211872       -4.2862067954087859        0.0693513741480660
     5339     3066.0915469195756486      743.2271280777121092     -111.6217519499158186      -87.5460344646967314      -70.3658842065217414       80.5850270662833026       -4.2323856434490459       -0.0170516644205513
     5340     3067.9205817224851671      735.5578776053446290     -107.9152795852439510     -127.8335206756405569      -85.3167419454723586       80.9851751525362289       -4.1538565208943528       -0.1053127521854970
     5341     3069.6570855706545444      728.4978637050840007     -103.9157572202754523     -167.2677405614131203      -99.9069286304719526       80.8284164943079162       -4.0518717590571969       -0.1947302381668365
     5342     3071.2995694032197207      722.0293349132716685      -99.6320556114872602     -205.6263527464388972     -114.0623843029087539       80.1060321642803217       -3.9278144467789167       -0.2845803157394157
     5343     3072.8468172283464810      716.1315209712411161      -95.0742117176851451     -242.7011351529563399     -127.7137192898294415       78.8142552783217809       -3.7831560938633992       -0.3741240841793915
     5344     3074.2978729207316064      710.7811819274648997      -90.2533775601291666     -278.2987092880566706     -140.7964119305047461       76.9543870042798375       -3.6194253122458497       -0.4626151556322443
     5345     3075.6520239733267772      705.9531678731949569      -85.1817509500258581     -312.2409971650845364     -153.2509264909353988       74.5328513864404556       -3.4381871099381147       -0.5493072995317010
     5346     3076.9087815351831523      701.6209815069003071      -79.8725019411901229     -344.3654015017432357     -165.0227527078341154       71.5611994503536835       -3.2410077773008705       -0.6334620283051445
     5347     3078.0678565284138131      697.7573362298437587      -74.3397123787331537     -374.5247687530059011     -176.0623854238091326       68.0560537110676194       -3.0294471397527905       -0.7143560763684726
     5348     3079.1291346763377987      694.3346997077666174      -68.5982865545324358     -402.5871299730156352     -186.3252396490613592       64.0389996492010880       -2.8050241834091958       -0.7912888390723658
     5349     3080.0926475834517078      691.3258193358855124      -62.6639008464120622     -428.4352449570342287     -195.7715142626184388       59.5364220501890173       -2.5692108964494245       -0.8635893236210483
     5350     3080.9585446041874093      688.7042197078077379      -56.5529183532895203     -451.9659984246468412     -204.3660136697907319       54.5792890271573654       -2.3234106656931508       -0.9306238481592639
     5351     3081.7270640285246373      686.4446687381537231      -50.2823119949115096     -473.0897221512914257     -212.0779502792445328       49.2028784767842211       -2.0689642842747511       -0.9918021872849310
     5352     3082.3985033178819322      684.5236089527365948      -43.8696134040624486     -491.7294213185195986     -218.8807230343210222       43.4464683985961031       -1.8071260692855313       -1.0465827992142887
     5353     3082.9731926006206777      682.9195466380281232      -37.3328160178986366     -507.8199558550618349     -224.7516826140114290       37.3529754153331623       -1.5390784712327710       -1.0944794496438164
     5354     3083.4514676629651149      681.6133998438215258      -30.6903372711861699     -521.3072607219255588     -229.6719124075981426       30.9685560039306580       -1.2659243764362402       -1.1350656667374239
     5355     3083.8336472623855116      680.5887989957105901      -23.9609294782857525     -532.1475971074419249     -233.6260162848558366       24.3421690956531265       -0.9887017670885050       -1.1679793799411746
     5356     3084.1200123602448002      679.8323407865093486      -17.1636229278027592     -540.3068567080499633     -236.6019234054425624       17.5251099975489559       -0.7083785150477272       -1.1929263769075531
     5357     3084.3107890130754640      679.3337927569479007      -10.3176644063865925     -545.7599918118130518     -238.5907292231719339       10.5705212015480043       -0.4258827311449963       -1.2096827657073634
     5358     3084.4061354685009064      679.0862472264310554       -3.4424598786500695     -548.4905909053309188     -239.5865776441719390        3.5328953949173267       -0.1420989904481872       -1.2180942235772318
     5359     3084.4061330863414696      679.0862253140916209        3.4425104659855723     -548.4905101825115707     -239.5865536562507714       -3.5324117873768461        0.1421149519460753       -1.2180590529186159
     5360     3084.3107818795456296      679.3337285961973748       10.3177145164799242     -545.7597549454608270     -238.5906518280008868      -10.5698515525926808        0.4258982871516707       -1.2095316659070465
     5361     3084.1200005016016803      679.8322377035370891       17.1636715090960443     -540.3064751737019833     -236.6017810377104524      -17.5242252784096060        0.7083935701390940       -1.1925616823791099
     5362     3083.8336307277759261      680.5886606345275140       23.9609755660743815     -532.1470831193410049     -233.6257968071206506      -24.3410753057429119        0.9887163146183724       -1.1672969629702161
     5363     3083.4514465203938016      681.6132300868481479       30.6903799843013196     -521.3066261566436879     -229.6716043621657946      -30.9672625243738509        1.2659384064353856       -1.1339637225709434
     5364     3082.9731669393959237      682.9193495315765858       37.3328545834521037     -507.8192121225829396     -224.7512755255636421      -37.3514935105436834        1.5390919683674884       -1.0928598517722683
     5365     3082.3984732475964847      684.5233886335993247       43.8696471614186763     -491.7285792899410808     -218.8802076591420018      -43.4448112477919253        1.8071390125046423       -1.0443521348683535
