ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
     6769     2886.8820057463944977     1235.2580952117639299       -0.1798196726675385     -258.5171796659788015      -74.1549709138212165       -0.1176797849077374       -0.0090331187830516       -0.0358243586959332
     6770     2887.0179349874629224     1235.4747454160615234       -0.5397340110504296     -258.7346104813218517      -74.1475040176178481       -0.3543763061143173       -0.0264120197441896       -0.0361201342744368
     6771     2887.2895012637000036     1235.9070986442768572       -0.9009267893757218     -259.1559998785278367      -74.1282914234868713       -0.5942987396837141       -0.0417428173961415       -0.0367069514791857
     6772     2887.6961207153144642     1236.5532423477250177       -1.2642560257978623     -259.7545622079946952      -74.0888321137390449       -0.8395610743771351       -0.0536840305432174       -0.0375764475543461
     6773     2888.2369185949469284     1237.4102429971035235       -1.6305956342139041     -260.4904438251587635      -74.0164973276971523       -1.0922180398305481       -0.0609258277035593       -0.0387150080449384
     6774     2888.9107304333329012     1238.4740701952059680       -2.0008311818820177     -261.3111140077835444      -73.8946782342484312       -1.3542446576649108       -0.0622093479873084       -0.0401056102741879
     6775     2889.7161038885992639     1239.7394983783171938       -2.3758713447979289     -262.1519132706812343      -73.7029904170990449       -1.6275156631330816       -0.0563391364841091       -0.0417268087628344
     6776     2890.6513013268286159     1241.1999885131810970       -2.7566409298707009     -262.9367159458433889      -73.4175207064572533       -1.9137794932726409       -0.0421944660048200       -0.0435524248102190
     6777     2891.7143028591995062     1242.8475529138697766       -3.1440995810197507     -263.5787224569039608      -73.0111221746612955       -2.2146327646942439       -0.0187456848317706       -0.0455526592936510
     6778     2892.9028106095761359     1244.6726065492368889       -3.5392267320958579     -263.9814021847937511      -72.4537611474545429       -2.5315016387912581        0.0149314396906252       -0.0476936638335876
     6779     2894.2142538709122164     1246.6638089484363263       -3.9430311766838226     -264.0395604274112884      -71.7129074631798176       -2.8656140827936549        0.0596445671096827       -0.0499373817341841
     6780     2895.6457954952470573     1248.8079011351342160       -4.3565514636922753     -263.6405524830379363      -70.7539748806391344       -3.2179750470890296        0.1160656188341416       -0.0522420326650311
     6781     2897.1943395742914618     1251.0895423311505965       -4.7808519900569655     -262.6656003192097160      -69.5407959778854092       -3.5893445834030526        0.1847285765761033       -0.0545625462781524
     6782     2898.8565407088472057     1253.4911515687001611       -5.2170234756235399     -260.9912634994016116      -68.0361470864274906       -3.9802136243495871        0.2660009161844596       -0.0568505155955823
     6783     2900.6288149048941705     1255.9927595624453716       -5.6661764126900271     -258.4910400085918809      -66.2023131752887366       -4.3907818589694552        0.3600862067053822       -0.0590542158386774
