ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
     7333     2886.6509869801898276     1237.2409209081151857       -0.0255542347793915     -260.4937922889907895      -74.8637237174639267       -0.0166205164057207       -0.0098685367541185       -0.0050999864823091
     7334     2886.7874904066738964     1237.4612555343292115       -0.0765698369198419     -260.7277612280022367      -74.8611496270102634       -0.0502799535993575       -0.0289054311239604       -0.0051464532974858
     7335     2887.0602040183143799     1237.9010029408284481       -0.1277676856752269     -261.1820177219578909      -74.8516387627444146       -0.0844089182555883       -0.0458624950551699       -0.0052375927261870
     7336     2887.4685418240833314     1238.5582937325923467       -0.1792696066572946     -261.8293572496595516      -74.8265240234716202       -0.1193125049247577       -0.0593723310032478       -0.0053718074400025
     7337     2888.0116256388778311     1239.4302573079394278       -0.2312012406720973     -262.6293007941117139      -74.7729297525797847       -0.1552911847487778       -0.0681071648122710       -0.0055458506109474
     7338     2888.6882862503052820     1240.5129438900582954       -0.2836902669295131     -263.5284838061384107      -74.6739180322688298       -0.1926308957335761       -0.0707817782939085       -0.0057551675730367
     7339     2889.4970650933782963     1241.8012234079346854       -0.3368629492039928     -264.4612038613427103      -74.5086940063999918       -0.2316048058322734       -0.0661827436936122       -0.0059948640415585
     7340     2890.4362164713465972     1243.2886637975302619       -0.3908558216198625     -265.3501002359284939      -74.2528601701419575       -0.2724679458790858       -0.0531661469613785       -0.0062587131582983
     7341     2891.5037104489247213     1244.9673917455249921       -0.4458037200366221     -266.1069127990072047      -73.8787006480208674       -0.3154529239957947       -0.0306786455034778       -0.0065394761400171
     7342     2892.6972367935454713     1246.8279393959373920       -0.5018474831095129     -266.6334488381203300      -73.3555374140350978       -0.3607669411799134        0.0022229568461494       -0.0068293619403144
     7343     2894.0142098668466133     1248.8590810842786141       -0.5591338999582314     -266.8226789777381782      -72.6501319146393598       -0.4085889225350374        0.0463640117567705       -0.0071202743229717
     7344     2895.4517746297806298     1251.0476646672073002       -0.6178091216073035     -266.5599069409740878      -71.7271128260724709       -0.4590698817827283        0.1024433116936571       -0.0074033187521232
     7345     2897.0068140307794238     1253.3784421799857682       -0.6780283703046449     -265.7241164766869588      -70.5494629013605845       -0.5123228463938055        0.1710071255189653       -0.0076682844314152
     7346     2898.6759580001512404     1255.8339051235852821       -0.7399470785855375     -264.1894694352467923      -69.0790537091484111       -0.5684203480686574        0.2524437504443715       -0.0079050744352105
     7347     2900.4555940136274330     1258.3941297733779265       -0.8037285137925108     -261.8269012710807147      -67.2772111711492471       -0.6273930881918482        0.3469695635697749       -0.0081038274523770
     7348     2902.3418790832088234     1261.0366380090124494       -0.8695310623554626     -258.5057598739335845      -65.1052936939308893       -0.6892293381328002        0.4546329043918165       -0.0082543085843093
     7349     2904.3307540863243048     1263.7362793205356866       -0.9375238738211258     -254.0956723424210395      -62.5253383823589957       -0.7538671538986437        0.5752671305317867       -0.0083460229953793
     7350     2906.4179598560231170     1266.4651395483574561       -1.0078669381526357     -248.4684770346475489      -59.5007234038853312       -0.8211937562475641        0.7085228726500092       -0.0083686935717652
     7351     2908.5990547883502586     1269.1924818150093870       -1.0807307258149594     -241.5001453596482861      -55.9968220409207333       -0.8910398598773679        0.8538378202478790       -0.0083124403943584
     7352     2910.8694348734020423     1271.8847246677121348       -1.1562751884896041     -233.0728552451005271      -51.9816964126971470       -0.9631814164802793        1.0104396193986518       -0.0081682010849751
     7353     2913.2243552007844301     1274.5054623107589578       -1.2346581572848792     -223.0770635359549487      -47.4267823451864388       -1.0373377299290907        1.1773417570684659       -0.0079272054205094
     7354     2915.6589532764219257     1277.0155310779098272       -1.3160346671766774     -211.4136026228816263      -42.3075727032019131       -1.1131648142982900        1.3533447584743925       -0.0075811899343171
