ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
     3385     2895.8119428758418508     1150.0573899351859382       -1.4121130280600869     -179.9805446625155128      -47.4035635830755382       -0.7897216761761354        0.0109505376369796       -0.2266981036368639
     3386     2895.9303153229843701     1150.1374986027306022       -4.2388764732049404     -179.7949307304488684      -47.2902801427021586       -2.3721314144339312        0.0331825968518951       -0.2272849618808850
     3387     2896.1668071877215880     1150.2964765842157249       -7.0737747318567985     -179.4168288865462273      -47.0619198132098973       -3.9625281105700090        0.0564289452312454       -0.2284423793421560
     3388     2896.5209098635846203     1150.5318754894594804       -9.9222235023902936     -178.8324716081351653      -46.7149041913107794       -5.5660620410455000        0.0813521315201728       -0.2301370828594539
     3389     2896.9918644687049891     1150.8400077108162805      -12.7896419277910134     -178.0214983366613524      -46.2439641015730558       -7.1876243305399399        0.1085761598747702       -0.2323200474080841
     3390     2897.5786664982247203     1151.2159282075597275      -15.6814388425797411     -176.9572845166544539      -45.6422516239410925       -8.8317451853878435        0.1386956649814096       -0.2349264011457685
     3391     2898.2800714907307338     1151.6534135966901431      -18.6030116144470057     -175.6073876923060197      -44.9014904507077972      -10.5024943717384396        0.1722432350749281       -0.2378756295996378
     3392     2899.0946032590445611     1152.1449379292316735      -21.5597385112060671     -173.9341006056720289      -44.0121612027505762      -12.2033796764477316        0.2097003022245494       -0.2410718768978456
     3393     2900.0205626160263819     1152.6816479811952831      -24.5569713772876632     -171.8950789976579472      -42.9637120229419907      -13.9372505973794070        0.2514708034856477       -0.2444051590336665
     3394     2901.0560383038318832     1153.2533405229189611      -27.6000282500944785     -169.4441209922688358      -41.7448172053063900      -15.7062062931519293        0.2978776926805982       -0.2477519839523513
     3395     2902.1989195546157134     1153.8484421063717491      -30.6941619238555248     -166.5319986156705454      -40.3436521309042746      -17.5115063385024747        0.3491549153647324       -0.2509760590793782
     3396     2903.4469091942746672     1154.4539972512636723      -33.8445676140459071     -163.1073700850442947      -38.7481897794054930      -19.3534835143497830        0.4054396541334844       -0.2539290934630024
     3397     2904.7975393672290920     1155.0556635042109974      -37.0563379394998123     -159.1177617345820181      -36.9465195216346274      -21.2314636354213917        0.4667666910442579       -0.2564523252604097
     3398     2906.2481877134409842     1155.6377201342243097      -40.3344536347566134     -154.5106379241278773      -34.9271885838322760      -23.1436934147297677        0.5330559719489840       -0.2583781459205938
     3399     2907.7960955812391148     1156.1830899827209578      -43.6837436854232806     -149.2345332126269568      -32.6795593505655688      -25.0872741635374652        0.6041136176760320       -0.2595306526126182
     3400     2909.4383865854633768     1156.6733796911619265      -47.1088621289039082     -143.2401654375280486      -30.1941557456098053      -27.0580994965061876        0.6796353381107892       -0.2597277369837653
     3401     2911.1720872491637238     1157.0889383928797542      -50.6142381382898918     -136.4816273607948460      -27.4630276369562125      -29.0508100550299488        0.7591872379989597       -0.2587833781265823
     3402     2912.9941470663629843     1157.4089402217746283      -54.2040527168014492     -128.9175795171036043      -24.4801078105074339      -31.0587540001344848        0.8422265271451279       -0.2565094890227069
     3403     2914.9014610810963859     1157.6114887092337540      -57.8821752688905207     -120.5124212290265859      -21.2415559270561971      -33.0739630623874490        0.9280855974178430       -0.2527173983167057
     3404     2916.8908913587806637     1157.6737486736512892      -61.6521270615742836     -111.2374746458444861      -17.7460963056078072      -35.0871347469481449        1.0159868835365153       -0.2472204949923872
     3405     2918.9592893455774174     1157.5721038964743457      -65.5170243601462374     -101.0720633083960820      -13.9953142211234081      -37.0876354073247043        1.1050494532322703       -0.2398372658738567
     3406     2921.1035178865113267     1157.2823429247694094      -69.4795273459390614      -90.0045791732313774       -9.9939388668919946      -39.0635177214048781        1.1942872076588498       -0.2303931333519988
     3407     2923.3204734553232811     1156.7798717053849487      -73.5417770560489572      -78.0334831682321237       -5.7500957225604452      -41.0015517765939990        1.2826247571654186       -0.2187234980444023
     3408     2925.6071066149379476     1156.0399540048758809      -77.7053402665413273      -65.1681389673663034       -1.2754958142129453      -42.8872760899243985        1.3689158229782843       -0.2046760801053059
     3409     2927.9604421369112970     1155.0379772433327616      -81.9711479646990000      -51.4295609471819262        3.4144107014815290      -44.7050639406687509        1.4519443224707480       -0.1881143286186693
     3410     2930.3775976219581025     1153.7497418968418970      -86.3394303947317923      -36.8510368679999374        8.3003299671786408      -46.4382159209526861        1.5304489843044111       -0.1689204797326823
     3411     2932.8558002186878184     1152.1517726481308728      -90.8096572706698737      -21.4785737199467803       13.3590836338082681      -48.0690649589690366        1.6031364693466275       -0.1469974007018364
     3412     2935.3924007428086043     1150.2216471021083635      -95.3804774632087202       -5.3711591438086543       18.5636339349514401      -49.5791019088466669        1.6687052905202557       -0.1222719819220765
     3413     2937.9848859296830597     1147.9383382011474168     -100.0496576697980089       11.3991817942142006       23.8831793787066999      -50.9491230038804161        1.7258643246928518       -0.0946979263733567
     3414     2940.6308876406687887     1145.2825657183784642     -104.8140253003398072       28.7474626943435396       29.2832976182087350      -52.1593974815780115        1.7733426734676097       -0.0642582492196997
     3415     2943.3281889436957499     1142.2371513066698299     -109.6694132491705602       46.5761254655640187       34.7261889196613538      -53.1898533821915862        1.8099423620871038       -0.0309675652744201
     3416     2946.0747260694106444     1138.7873720478078212     -114.6106151684952295       64.7756050566404156       40.1709773796662830      -54.0202786410712861        1.8345217207900189        0.0051261993156820
     3417     2948.8685881680080456     1134.9213045549124672     -119.6313367267344034       83.2250513346116350       45.5740611965254629      -54.6305410010159562        1.8460437448689402        0.0439391749175466
     3418     2951.7080124137009989     1130.6301542870392041     -124.7241574273777047      101.7934165005240175       50.8895733311740059      -55.0008249185218006        1.8436011511308585        0.0853503246285200
     3419     2954.5913749646642827     1125.9085635157632623     -129.8805038042760032      120.3406591482248587       56.0698752206806148      -55.1118780945599553        1.8264139965277619        0.1292008208569833
     3420     2957.5171791537268291     1120.7548894922279032     -135.0906232742635495      138.7191403911469934       61.0661029251778018      -54.9452678608483609        1.7938703221206302        0.1752928583282494
     3421     2960.4840388601733139     1115.1714476886099874     -140.3435731152630410      156.7752894750260566       65.8287876569377204      -54.4836488162736714        1.7455386727900482        0.2233894738132051
     3422     2963.4906588792518960     1109.1647123669959001     -145.6272155695350818      174.3513987024498419       70.3085047379597654      -53.7110327436817556        1.6811796632566769        0.2732149639235625
     3423     2966.5358123167752638     1102.7454684693504987     -150.9282217768273426      191.2875469170098768       74.4565486409251207      -52.6130596045880452        1.6007592851200227        0.3244557927348553
     3424     2969.6183132497294537     1095.9289110654701744     -156.2320962658615144      207.4237078825553908       78.2256492258550225      -51.1772676391401262        1.5044705125547844        0.3767617001650174
     3425     2972.7369892835745304     1088.7346836805068051     -161.5231980269261953      222.6018830702350897       81.5706766398407126      -49.3933546881331154        1.3927141020350366        0.4297481117719194
     3426     2975.8906498755873145     1081.1868561362175569     -166.7847867704303155      236.6682980154992038       84.4493467788392991      -47.2534315745392917        1.2661288183797736        0.4829980112028791
     3427     2979.0780546567548299     1073.3138348443585528     -171.9990701129210890      249.4756896148137457       86.8229318461528692      -44.7522601896724552        1.1255759801365361        0.5360654961089573
     3428     2982.2978785895556939     1065.1482083754494852     -177.1472770102248262      260.8854826633123594       88.6569150174327660      -41.8874732994421493        0.9721304531227156        0.5884793864419808
     3429     2985.5486805627506328     1056.7265213783571198     -182.2097218326702830      270.7699320169122075       89.9216096875863968      -38.6597703127017951        0.8070794474376780        0.6397471675660585
     3430     2988.8288678161052303     1048.0889860594863876     -187.1659050212466013      279.0141761878212492       90.5927283928299403      -35.0730893929635101        0.6319030455806435        0.6893597790761775
     3431     2992.1366671835803572     1039.2791232439203668     -191.9945947447940284      285.5181218291440928       90.6518739130751783      -31.1347453716549580        0.4482565714671212        0.7367967722938288
     3432     2995.4700903661346274     1030.3433500420801465     -196.6739599992761782      290.1981557229801183       90.0869556452962570      -26.8555384664524581        0.2579506875731155        0.7815316731227517
     3433     2998.8269122495594274     1021.3305007508647577     -201.1816595246018835      292.9886372489622772       88.8925129850185840      -22.2498207556170939        0.0629241003407345        0.8230378896778213
     3434     3002.2046417521892181     1012.2913083451252305     -205.4949942126486064      293.8431253524113345       87.0699381398260357      -17.3355283637093294       -0.1347848962972734        0.8607947401817532
