ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
     7145     2886.6894693273666235     1236.9115277935616177       -0.0766095384142876     -260.1649912091552324      -74.7456875398404463       -0.0501572452341389       -0.0097288151410617       -0.0153064207121381
     7146     2886.8258766143158027     1237.1312487422787854       -0.2298570400334291     -260.3961791850679219      -74.7422893667892367       -0.1512029886614341       -0.0284852512999822       -0.0154379091734001
     7147     2887.0983981463887176     1237.5697639407601400       -0.3836524893207791     -260.8449123430627878      -74.7311457300979782       -0.2536546756355545       -0.0451709876126513       -0.0156978128561446
     7148     2887.5064482296920687     1238.2251966910328065       -0.5383628346881985     -261.4840533337114721      -74.7036163202878924       -0.3584293109515405       -0.0584148561731527       -0.0160819819543015
     7149     2888.0491492778483007     1239.0946657364229395       -0.6943607350178553     -262.2732203284226671      -74.6468639964205067       -0.4664225842812435       -0.0668991881266171       -0.0165842838447564
     7150     2888.7253329064678837     1240.1742076218372404       -0.8520307197780377     -263.1592007640447264      -74.5440101714850698       -0.5784961323183534       -0.0693398317002564       -0.0171958898610378
     7151     2889.5335415337167433     1241.4586760795148166       -1.0117554210037261     -264.0764623673821916      -74.3743278406263926       -0.6954662459205666       -0.0645267148872747       -0.0179058336172843
     7152     2890.4720308305400067     1242.9416208944485334       -1.1739393019527791     -264.9478458550343021      -74.1134987628188355       -0.8180945968758579       -0.0513192706023705       -0.0187017156719135
     7153     2891.5387725727568977     1244.6151493067141018       -1.3389891974502892     -265.6853435668690508      -73.7339049939348570       -0.9470808284585164       -0.0286708979984763       -0.0195686310661796
     7154     2892.7314585897165671     1246.4697735293011647       -1.5073263348540635     -266.1910467405559757      -73.2049782740880346       -1.0830466698417025        0.0043614346093048       -0.0204896578753995
     7155     2894.0475057181779448     1248.4942483727024864       -1.6793892907384489     -266.3582183188400450      -72.4935934941511277       -1.2265290954503127        0.0486008129139998       -0.0214467551335688
     7156     2895.4840619019623773     1250.6754034134551148       -1.8556214182797068     -266.0725027485905230      -71.5645100658864521       -1.3779717116740053        0.1047388054039990       -0.0224197334899957
     7157     2897.0380136841104104     1252.9979747219545061       -2.0364824033989510     -265.2132731863839581      -70.3808582518918229       -1.5377100612972945        0.1733191053831123       -0.0233868472204579
     7158     2898.7059951536652989     1255.4444412326301972       -2.2224416185113158     -263.6550964164039215      -68.9046625557123207       -1.7059633075340883        0.2547290043897523       -0.0243251299159791
     7159     2900.4843984809522226     1257.9948711779165933       -2.4139828507511272     -261.2693218995764255      -67.0974044101744767       -1.8828242521375231        0.3491833834950776       -0.0252106347290281
     7160     2902.3693862598747728     1260.6267839724807800       -2.6115871556978463     -257.9257627193314875      -64.9206138604552052       -2.0682518430980319        0.4567230486516644       -0.0260179049386630
     7161     2904.3569055848838616     1263.3150334381659832       -2.8157537582347603     -253.4945271745582431      -62.3365045963564626       -2.2620547849055330        0.5771845592652893       -0.0267209159050293
     7162     2906.4427042577308384     1266.0317176300579831       -3.0269717224212762     -247.8479450249924412      -59.3086337848867515       -2.4638909081052556        0.7102133742193658       -0.0272934394979567
     7163     2908.6223485882296700     1268.7461209068644621       -3.2457387380944036     -240.8625147306124745      -55.8025630346917296       -2.6732541927271822        0.8552462995019054       -0.0277084102342147
     7164     2910.8912431269282024     1271.4246931280658828       -3.4725395387708642     -232.4209247332196355      -51.7865358337066937       -2.8894683044686387        1.0115141875904918       -0.0279392854082971
     7165     2913.2446524398010297     1274.0310708758740930       -3.7078506327773946     -222.4141654688410199      -47.2321748482695511       -3.1116830123242991        1.1780233780523410       -0.0279595807579610
     7166     2915.6777244066893218     1276.5261448273874976       -3.9521301064615457     -210.7436136039277699      -42.1151599606573654       -3.3388658835082752        1.3535801782698815       -0.0277434255232476
     7167     2918.1855148899348933     1278.8681769341926611       -4.2058173707028450     -197.3230778549932438      -36.4158835073719729       -3.5698023767679614        1.5367745794357446       -0.0272663170171905
     7168     2920.7630140997516719     1281.0129702213710061       -4.4693207567812374     -182.0808843439035627      -30.1201056919455823       -3.8030930136426964        1.7259911672500059       -0.0265046889984361
     7169     2923.4051736446240284     1282.9140930931393996       -4.7430080085689630     -164.9618157981049080      -23.2195520952832339       -4.0371538895969605        1.9194286137545307       -0.0254366602466104
     7170     2926.1069344028137493     1284.5231594710353420       -5.0272120239878646     -145.9289828758924159      -15.7124759957578135       -4.2702185813510249        2.1150950016227617       -0.0240427288869747
     7171     2928.8632548574501016     1285.7901643716818398       -5.3222071639280433     -124.9655659720983749       -7.6041661573217425       -4.5003455518321225        2.3108411023721089       -0.0223059103255700
     7172     2931.6691392635925695     1286.6638741682436375       -5.6282123734160967     -102.0763660678057931        1.0926200191329372       -4.7254254047424809        2.5043663450105718       -0.0202117163588619
     7173     2934.5196653590510323     1287.0922689655642444       -5.9453780861277075      -77.2891491606692398       10.3573015430426949       -4.9431894367266755        2.6932564411591549       -0.0177486527959118
     7174     2937.4100113679455717     1287.0230337734687964       -6.2737793208452519      -50.6558091461583899       20.1611895596900013       -5.1512230930023311        2.8749844798576900       -0.0149091193752359
     7175     2940.3354812620400480     1286.4040935553903182       -6.6134073517303955      -22.2531665575838815       30.4673299201358532       -5.3469846129898118        3.0469836498015344       -0.0116892376069641
     7176     2943.2915285602412041     1285.1841864203956902       -6.9641594256110047        7.8164708516915198       41.2304323648779700       -5.5278214341745864        3.2066249901321884       -0.0080888589378210
     7177     2946.2737777553925298     1283.3134679746406164       -7.3258391041964162       39.4250157174460583       52.3968954909896638       -5.6909921143723077        3.3512950618599833       -0.0041124209875087
     7178     2949.2780427915186010     1280.7441381628068484       -7.6981379248410544       72.4188107301533819       63.9049965129102020       -5.8336927725267236        3.4784194565111015        0.0002311643144413
     7179     2952.3003427710368669     1277.4310822278148407       -8.0806371423297580      106.6190825896769638       75.6851665340177533       -5.9530841038403279        3.5854908397023397        0.0049282920327033
     7180     2955.3369141613766260     1273.3325152806498863       -8.4727967540723093      141.8227754103359075       87.6603899794029076       -6.0463216505108441        3.6701176313476398        0.0099605133239058
     7181     2958.3842191320773054     1268.4106200733942842       -8.8739542012229311      177.8038352595963261       99.7467478889032009       -6.1105891539799586        3.7300666551047654        0.0153045123476828
     7182     2961.4389500522397611     1262.6321668678331207       -9.2833205751010741      214.3148413369945047      111.8540713593411056       -6.1431334335567129        3.7632909345299344        0.0209322269034094
     7183     2964.4980301125970072     1255.9691038985502018       -9.6999688845794019      251.0889927664138668      123.8867054652623665       -6.1412995099611365        3.7679732643053212        0.0268107295221828
     7184     2967.5586093631704898     1248.3991073464901547      -10.1228487193863312      287.8425200944234348      135.7444014954885461       -6.1025720136890929        3.7425683535124650        0.0329021786065407
     7185     2970.6180573166184331     1239.9060791154195158      -10.5507663406766596      324.2773706309653790      147.3232893305387279       -6.0246124097123328        3.6858151598029667        0.0391642693643647
     7186     2973.6739511484101968     1230.4805823067160873      -10.9824009003810179      360.0842157363845217      158.5169423477611872       -5.9053004676740581        3.5967885698890032        0.0455503714156348
     7187     2976.7240602423298697     1220.1202037919495069      -11.4163024894440106      394.9458072955740136      169.2175395066306010       -5.7427733173715563        3.4749174131621938        0.0520098817993962
